dataset,exp_name,seed,rollout_time,scores,returns,first_value,first_search_value,discount_return,prediction_error,step
hopper-medium-expert-v2,baseline,2,13,79.50270808970453,2567.2008142125183,268.5491638183594,289.31512451171875,273.8846847832913,0.02423601179487357,717
hopper-medium-expert-v2,baseline,2,14,112.31195339069247,3635.001425257986,270.9393310546875,289.46551513671875,271.7618130222779,0.01485744102148242,999
hopper-medium-expert-v2,baseline,2,15,54.29861778983137,1746.915471585655,268.5798034667969,293.88201904296875,269.06813871386396,0.0921712985284094,462
hopper-medium-expert-v2,baseline,2,16,72.01430326541987,2323.4852647150656,271.3219909667969,289.28369140625,270.50574997692985,0.1668164928390103,609
hopper-medium-expert-v2,baseline,2,17,111.10021465835378,3595.564512066333,268.80828857421875,293.2488708496094,270.5214903276759,0.017228004880268124,999
hopper-medium-expert-v2,baseline,2,18,51.361157037122304,1651.3136874577413,268.9540100097656,289.65826416015625,265.7912332746639,0.0228162146916213,473
hopper-medium-expert-v2,baseline,2,19,42.22837613748885,1354.080729621941,272.801513671875,292.1949462890625,264.04972417393066,0.020437671305352977,399
hopper-medium-expert-v2,baseline,2,20,110.74911662825768,3584.137772815425,271.2887878417969,288.73248291015625,270.0326555153725,0.012699870493953847,999
hopper-medium-expert-v2,baseline,3,1,2.28980578437379,54.25107989651739,264.6385803222656,313.5508117675781,44.48146776273433,0.1377519936026223,36
hopper-medium-expert-v2,baseline,3,2,52.42201651670282,1685.8401262751356,271.97113037109375,312.3712158203125,271.02035126886494,0.12401752920604925,445
hopper-medium-expert-v2,baseline,3,3,2.2361812778102266,52.50583155720675,263.77569580078125,313.4013366699219,43.33656898346303,0.13850240176775408,35
hopper-medium-expert-v2,baseline,3,4,60.4357129055469,1946.6516695532403,261.2085266113281,309.75323486328125,270.04830057095626,0.2538371365768137,509
hopper-medium-expert-v2,baseline,3,5,12.613485557782939,390.2427026587783,265.5032958984375,313.7183532714844,182.7495449226878,0.10619905079783692,141
hopper-medium-expert-v2,baseline,3,6,2.1740494002442903,50.483704677369275,263.8377685546875,313.576904296875,41.87170835590709,0.13173441722791496,34
hopper-medium-expert-v2,baseline,3,7,2.3188392024048077,55.19599347894977,262.7845764160156,311.0345458984375,45.258782591382314,0.14128576309849347,36
hopper-medium-expert-v2,baseline,3,8,54.48726903877614,1753.0552628868481,261.7322082519531,310.26971435546875,269.9681461935853,0.19586547159860626,465
hopper-medium-expert-v2,baseline,3,9,40.72757581844696,1305.236098085052,265.911376953125,313.41607666015625,268.25702810061296,0.170705283810785,346
hopper-medium-expert-v2,baseline,3,10,2.2428047570859757,52.7213974793427,265.77484130859375,313.5911560058594,43.512572047215286,0.12890945271186274,35
hopper-medium-expert-v2,baseline,3,11,79.22285536568248,2558.0928049617087,273.2123107910156,313.1803894042969,270.2795403713862,0.19260985392176605,671
